"slug","vehicleName","yearRange","fuel","currentMatchedBattery","matchedSource","customerVisible","riskLevel","reason","needsReview"
"renault-samsung-sm3-ze-2013","SM3 Z.E.","2013-2019","가솔린 | 디젤","ev_low_voltage_battery","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-sm5-new-impression-2007","SM5 뉴 임프레션","2007-2009","가솔린 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-new-sm5-2010","뉴 SM5","2010-2012","가솔린 | 디젤 | LPG","DIN90L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-sm5-nova-2015","SM5 노바","2015-2019","가솔린 | 디젤 | LPG","DIN90L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-sm6-2016","SM6","2016-2019","가솔린 | 디젤 | LPG","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-the-new-sm6-2020","더 뉴 SM6","2020-현재","가솔린","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-sm7-new-art-2008","SM7 뉴 아트","2008-2010","가솔린 | 2.3/일반 | 3.5/대용량","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-all-new-sm7-2011","올 뉴 SM7","2011-2013","가솔린 | LPG | 2.5/LPG | 3.5","DIN90L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-sm7-nova-2014","SM7 노바","2014-2019","가솔린 | LPG | 2.0 LPG/2.5 | 3.5","DIN90L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-qm5-2007","QM5","2007-2013","가솔린 | 디젤","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-qm3-2013","QM3","2013-2016","디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-qm6-2016","QM6","2016-2019","가솔린 | 디젤 | LPG | 가솔린/LPe | 디젤/ISG","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-the-new-qm6-2019","더 뉴 QM6","2019-2022","가솔린 | 디젤 | LPG","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-qm6-quest-2023","QM6 퀘스트","2023-현재","LPG","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-samsung-xm3-2020","XM3","2020-현재","가솔린","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-arkana-2024","아르카나","2024-현재","가솔린","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"renault-master-2018","르노 마스터","2018-현재","디젤","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-tivoli-2015","티볼리","2015-2016","가솔린 | 디젤","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-tivoli-armour-2017","티볼리 아머","2017-2018","가솔린 | 디젤","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-tivoli-air-2016","티볼리 에어","2016-2020","가솔린 | 디젤","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-tivoli-air-2021","티볼리 에어","2021-2022","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-very-new-tivoli-2019","베리 뉴 티볼리","2019-2022","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kg-the-new-tivoli-2023","더 뉴 티볼리","2023-현재","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-korando-c-2011","코란도 C","2011-2012","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-new-korando-c-2013","코란도 C","2013-2016","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-new-style-korando-c-2017","코란도 C","2017-2018","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-viewtiful-korando-2019","뷰티풀 코란도","2019-2021","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-korando-emotion-2022","코란도 이모션","2022-현재","가솔린","ev_low_voltage_battery","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-korando-sports-2012","코란도 스포츠","2012-2018","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-korando-turismo-2013","코란도 투리스모","2013-2019","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-actyon-2005","액티언","2005-2006","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-actyon-sports-2006","액티언 스포츠","2006-2018","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-kyron-2005","카이런","2005-2014","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-g4-rexton-2017","G4 렉스턴","2017-2019","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-all-new-rexton-2020","올 뉴 렉스턴","2020-2023","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-rexton-sports-2018","렉스턴 스포츠","2018-2023","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-rexton-sports-khan-2019","렉스턴 스포츠 칸","2019-2023","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-new-chairman-2005","뉴 체어맨","2005-2007","가솔린","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-chairman-w-2008","체어맨 W","2008-2017","가솔린","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-rexton-2001","렉스턴","2001-2006","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ssangyong-musso-sports-2002","무쏘 스포츠","2002-2004","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kg-torres-2022","토레스","2022-현재","가솔린 | 전기","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kg-torres-evx-2023","토레스 EVX","2023-현재","전기","60R","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kg-actyon-2024","액티언","2024-현재","가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"hyundai-grand-starex-2007","그랜드 스타렉스","2007-2017","디젤 | LPG","90R","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-mohave-2008","모하비","2008-2015","가솔린 | 디젤","100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-the-new-mohave-2016","더 뉴 모하비","2016-2019","디젤","100L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-mohave-the-master-2019","모하비 더 마스터","2019-현재","디젤","100L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-k9-2012","K9","2012-2017","가솔린","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-the-k9-2018","더 K9","2018-현재","가솔린","AGM105L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-soul-2008","쏘울","2008-2013","가솔린 | 디젤","60AL","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-soul-booster-2019","쏘울 부스터","2019-현재","공통","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-carens-2006","카렌스","2001-2006","가솔린 | 디젤 | LPG","60AL","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kia-all-new-carens-2013","올 뉴 카렌스","2013-2016","가솔린 | 디젤 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-matiz-creative-2009","마티즈 크리에이티브","2009-2011","가솔린 | LPG | 전기","DIN44L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-spark-2011","스파크","2011-2013","가솔린 | LPG | 전기","DIN44L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-spark-s-2013","스파크 S","2013-2015","가솔린 | LPG | 전기","DIN44L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-spark-2015","더 넥스트 스파크","2015-2018","가솔린 | LPG | 전기","DIN50L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-spark-2018","더 뉴 스파크","2018-2020","가솔린","DIN50L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-spark-2021","스파크","2021-2022","가솔린","DIN50L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-lacetti-2006","라세티","2006-2008","가솔린 | 디젤","60R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"daewoo-lacetti-premiere-2008","라세티 프리미어","2008-2011","가솔린 | 디젤","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-cruze-2011","크루즈","2011-2015","가솔린 | 디젤","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-the-new-cruze-2015","더 뉴 크루즈","2015-2016","가솔린 | 디젤 | ISG/스마트충전","DIN60L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-all-new-cruze-2017","올 뉴 크루즈","2017-2018","가솔린 | 디젤 | 디젤/ISG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-malibu-2011","말리부","2011-2016","가솔린 | 디젤 | LPG | 하이브리드","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-malibu-2016","올 뉴 말리부","2016-2018","가솔린 | 디젤 | LPG | 하이브리드","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-malibu-2019","더 뉴 말리부","2019-2022","가솔린 | 디젤 | 하이브리드 | 일반 | 스마트충전","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-winstorm-2006","윈스톰","2006-2011","디젤","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-captiva-2011","캡티바","2011-2016","디젤","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-captiva-2016","더 넥스트 캡티바","2016-2018","디젤","DIN100L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-trax-2013","트랙스","2013-2016","가솔린 | 디젤","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-trax-2017","더 뉴 트랙스","2017-2022","가솔린 | 디젤","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-trax-crossover-2023","트랙스 크로스오버","2023-현재","확인 필요","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-trailblazer-2020","트레일블레이저","2020-2023","가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-trailblazer-2024","트레일블레이저","2024-현재","가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-orlando-2011","올란도","2011-2018","디젤 | LPG","DIN90L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-aveo-2011","아베오","2011-2015","가솔린","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-gentra-x-2007","젠트라 X","2007-2011","가솔린","60R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"daewoo-tosca-2006","토스카","2006-2011","가솔린","80R","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-alpheon-2010","알페온","2010-2015","가솔린 | 하이브리드","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-impala-2016","임팔라","2016-2020","가솔린","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-equinox-2018","이쿼녹스","2018-2021","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-equinox-2022","이쿼녹스","2022-현재","가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-traverse-2019","트래버스","2019-현재","가솔린","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-colorado-2019","콜로라도","2019-2020","확인 필요","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-colorado-2021","콜로라도","2021-현재","확인 필요","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-labo-2011","라보","2011-현재","LPG","50L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"gmdaewoo-damas-2011","다마스","2011-현재","LPG","50L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"chevrolet-bolt-ev-2017","볼트 EV","2017-현재","전기","AGM50L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"